"","X","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"208",14,"Columbia",67268,40.3,64586,5499,24056,96.0129630730808,8.17476363203901,2010
"209",15,"Crawford",88657,41.8,85309,7328,20346,96.2236484428754,8.26556278692038,2010
"210",16,"Cumberland",235861,40.2,212930,32662,30254,90.2777483348243,13.8479867379516,2010
"211",17,"Dauphin",268220,39.1,199813,29507,29017,74.4959361717993,11.0010439191708,2010
"212",18,"Delaware",559276,38.9,408816,75299,30241,73.0973615889114,13.4636565845844,2010
"213",19,"Erie",280686,38.6,249120,25878,21835,88.7539813172014,9.21955494752143,2010
"214",20,"Fayette",136446,43.3,127173,10282,19078,93.2039048414757,7.53558184190083,2010
"215",21,"Franklin",149834,40.2,140087,13139,26335,93.4948009130104,8.7690377350935,2010
"216",22,"Indiana",88847,39.2,84309,7640,20255,94.8923430166466,8.59905230339798,2010
"217",23,"Lackawanna",214367,42.8,200252,21919,21897,93.4154977211978,10.2249879878899,2010
"218",24,"Lancaster",520156,38.1,468862,52772,26101,90.1387276124855,10.1454179130876,2010
"219",25,"Lawrence",90968,43.8,85091,8290,20759,93.5394864128045,9.11309471462492,2010
"220",26,"Lebanon",133688,41,120099,12180,26293,89.8352881335647,9.11076536413141,2010
"221",27,"Lehigh",350106,39.3,288037,38855,25233,82.271369242458,11.0980674424317,2010
"222",28,"Luzerne",320795,42.6,297026,29846,22272,92.5905952399507,9.30376096884303,2010
"223",29,"Lycoming",116143,41.4,107753,9877,21271,92.7761466468061,8.50417158158477,2010
"224",30,"Mercer",116558,43.1,107036,10610,20943,91.8306765730366,9.10276428902349,2010
"225",31,"Monroe",169896,40,135199,19063,23109,79.577506239111,11.2203936525875,2010
"226",32,"Montgomery",801052,40.6,658853,147094,36633,82.2484682642325,18.3626031768225,2010
"227",33,"Northampton",298101,41,259437,33855,27794,87.0298992623306,11.356889108054,2010
"228",34,"Northumberland",94366,43.7,90456,6506,20812,95.8565585062417,6.89443231672424,2010
"229",35,"Philadelphia",1528306,33.5,634294,125477,20743,41.5030759546845,8.21020136019881,2010
"230",36,"Schuylkill",148228,43.2,140301,9801,21681,94.6521574871144,6.61211107213212,2010
"231",37,"Somerset",77626,44.2,74594,4884,20976,96.0940921856079,6.29170638703527,2010
"232",38,"Washington",207875,43.3,195619,24441,24525,94.1041491280818,11.7575466025256,2010
"233",39,"Westmoreland",365012,45.3,348232,44564,24602,95.402890863862,12.2089136795503,2010
"234",40,"York",435490,40.2,385017,42017,28539,88.4100668212818,9.64821235849273,2010
"235",1,"Adams",101434,42,93533,8451,25565,92.2106985823294,8.33152591833113,2011
"236",2,"Allegheny",1227066,41.1,997533,175197,26477,81.2941602163209,14.2777161130697,2011
"237",3,"Armstrong",68568,44.9,67300,4897,25112,98.1507408703769,7.14181542410454,2011
"238",4,"Beaver",170414,44.3,155057,17388,25193,90.9884164446583,10.2033870456653,2011
"239",5,"Berks",412778,39.6,345850,41917,26340,83.7859575849488,10.1548532140763,2011
"240",6,"Blair",127099,42.4,122334,10976,22467,96.2509539807552,8.63578785041582,2011
"241",7,"Bucks",626854,42.3,560721,94130,34423,89.4500154740976,15.0162557788576,2011
"242",8,"Butler",184848,41.6,178447,27821,28155,96.5371548515537,15.0507443953951,2011
"243",9,"Cambria",143728,43.9,134522,11841,21281,93.594845819882,8.23847823666926,2011
"244",10,"Carbon",65154,44.4,0,5217,22183,0,8.00718298185837,2011
"245",11,"Centre",154722,29.1,138082,17970,20585,89.2452269231266,11.6143793384263,2011
"246",12,"Chester",503897,39.6,441438,93321,36895,87.6048081254701,18.5198562404618,2011
"247",13,"Clearfield",81445,44.1,77686,5665,21300,95.3846153846154,6.95561421818405,2011
"248",14,"Columbia",67476,40.1,64466,5038,21208,95.5391546623985,7.46635840891576,2011
"249",15,"Crawford",88740,41.9,85004,7579,19645,95.7899481631733,8.54068064007212,2011
"250",16,"Cumberland",237892,40.8,215368,32761,29836,90.5318379768971,13.7713752459099,2011
"251",17,"Dauphin",268977,39.7,195405,31221,28362,72.6474754347026,11.6073121493659,2011
"252",18,"Delaware",559494,38.8,404391,75489,31637,72.2779868953018,13.4923698913661,2011
"253",19,"Erie",280985,38.8,248204,27954,22241,88.3335409363489,9.94857376728295,2011
"254",20,"Fayette",136097,43.7,126922,9211,20004,93.2584847571952,6.76796696473839,2011
"255",21,"Franklin",150811,40.7,140215,12043,26305,92.9739873086181,7.98549177447268,2011
"256",22,"Indiana",89298,38.1,84310,8284,20328,94.414208604896,9.27680351183677,2011
"257",23,"Lackawanna",214166,41.6,198909,24299,22633,92.876086773811,11.3458718937647,2011
"258",24,"Lancaster",523594,38.2,470337,50038,25944,89.8285694641268,9.55664121437602,2011
"259",25,"Lawrence",90535,43.3,84421,8624,22862,93.2468106257249,9.5255978350914,2011
"260",26,"Lebanon",134311,40.6,119571,10697,26635,89.0254707358295,7.96435139340784,2011
"261",27,"Lehigh",352947,39,291574,37399,25399,82.6112702473743,10.5962084958932,2011
"262",28,"Luzerne",320651,42.7,293922,30038,23350,91.6641457534828,9.36781734658554,2011
"263",29,"Lycoming",116747,42.2,107843,9739,21932,92.3732515610679,8.34197024334672,2011
"264",30,"Mercer",116205,43.4,106188,11070,22125,91.3798889892862,9.52626823286434,2011
"265",31,"Monroe",169882,40.2,134798,14762,22118,79.3480180360486,8.68956098939264,2011
"266",32,"Montgomery",804210,40.7,661113,143907,37087,82.2065132241579,17.8942067370463,2011
"267",33,"Northampton",298476,41.6,261914,34233,26335,87.7504388962597,11.4692638604109,2011
"268",34,"Northumberland",94558,42.9,88547,6989,22930,93.643055056156,7.39123077899279,2011
"269",35,"Philadelphia",1536471,33.4,643228,137486,20648,41.8639857179211,8.94816758663196,2011
"270",36,"Schuylkill",147513,43.9,139772,11091,25225,94.7523269135602,7.5186593723943,2011
