"County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
"Columbia",0.21,41,0.01,29,2017
"Crawford",0.36,48,0.25,50,2017
"Cumberland",-1.43,5,-0.87,4,2017
"Dauphin",0.16,39,-0.01,28,2017
"Delaware",-0.11,26,-0.32,13,2017
"Elk",-0.02,32,-0.42,11,2017
"Erie",0.52,56,0.34,60,2017
"Fayette",1.43,65,1.09,66,2017
"Forest",-0.07,28,0.87,65,2017
"Franklin",-0.57,13,-0.21,16,2017
"Fulton",0.28,44,0.19,44,2017
"Greene",0.51,55,0.43,63,2017
"Huntingdon",-0.11,27,0.16,41,2017
"Indiana",0.42,49,0.45,64,2017
"Jefferson",0.61,59,0.15,38,2017
"Juniata",-0.22,22,-0.11,23,2017
"Lackawanna",0.6,57,0.21,47,2017
"Lancaster",-0.74,10,-0.45,9,2017
"Lawrence",0.73,60,0.41,62,2017
"Lebanon",-0.29,19,-0.37,12,2017
"Lehigh",0.18,40,-0.02,26,2017
"Luzerne",0.9,62,0.3,58,2017
"Lycoming",-0.01,33,0.2,46,2017
"McKean",0.49,52,0.35,61,2017
"Mercer",0.44,51,0.02,31,2017
"Mifflin",0.22,42,0.26,54,2017
"Monroe",0.5,53,0.13,37,2017
"Montgomery",-1.61,4,-1.28,1,2017
"Montour",-0.28,20,-0.73,6,2017
"Northampton",-0.42,15,-0.15,21,2017
"Northumberland",0.32,46,0.2,45,2017
"Perry",-0.29,18,-0.2,19,2017
"Philadelphia",2.8,67,1.44,67,2017
"Pike",-0.74,11,-0.13,22,2017
"Potter",-0.12,25,0.25,52,2017
"Schuylkill",0.95,64,0.25,51,2017
"Snyder",-0.53,14,-0.31,14,2017
"Somerset",0.01,36,0.24,48,2017
"Sullivan",1.61,66,0.15,40,2017
"Susquehanna",0.84,61,0.1,35,2017
"Tioga",0.01,35,-0.02,27,2017
"Union",-1.62,3,-0.58,8,2017
"Venango",0.28,45,0.16,42,2017
"Warren",-0.16,23,-0.2,18,2017
"Washington",0,34,-0.07,24,2017
"Wayne",-0.3,17,-0.05,25,2017
"Westmoreland",-0.36,16,-0.2,17,2017
"Wyoming",0.11,37,0.01,30,2017
"York",-0.64,12,-0.23,15,2017
"Adams",-0.84,10,-0.38,11,2018
"Allegheny",-0.03,31,0,30,2018
"Armstrong",0.35,47,0.24,52,2018
"Beaver",0.21,40,0.05,34,2018
"Bedford",-0.19,24,-0.07,24,2018
"Berks",0,32,-0.01,29,2018
"Blair",0.33,45,0.03,32,2018
"Bradford",0.17,37,0.28,57,2018
"Bucks",-1.11,7,-0.97,2,2018
"Butler",-1.21,5,-0.68,7,2018
"Cambria",1.14,64,0.33,59,2018
"Cameron",-0.55,14,0.05,33,2018
"Carbon",0.57,58,0.26,54,2018
"Centre",-1.87,2,-0.7,5,2018
"Chester",-1.91,1,-0.93,3,2018
"Clarion",0.51,56,0.11,43,2018
"Clearfield",0.16,36,0.19,48,2018
"Clinton",-0.28,20,0.05,36,2018
"Columbia",0.28,42,-0.07,25,2018
"Crawford",0.13,35,0.09,38,2018
"Cumberland",-1.21,6,-0.8,4,2018
"Dauphin",0.31,43,-0.07,26,2018
"Delaware",0.36,49,-0.29,12,2018
"Elk",-0.13,26,-0.24,14,2018
"Erie",0.48,53,0.26,53,2018
